,000300.SH,000905.SH,399006.SZ,000906.SH,000852.SH,881001.WI
2017/5/22,0.002170925,-0.014420892,-0.007219178,-0.002544313,-0.018284215,-0.009060709
2017/5/23,0.003797829,-0.021046144,-0.016688615,-0.003178503,-0.031813154,-0.012971151
2017/5/24,-7.91E-06,0.005962661,0.010261997,0.001638629,0.004749729,0.003132063
2017/5/25,0.017958003,0.008889201,0.000797229,0.015446267,0.008433783,0.013368987
2017/5/26,-0.001498598,-0.002370069,-0.010160411,-0.00173842,9.78E-05,-0.000340101
2017/5/31,0.00357714,-0.002198003,0.002328555,0.001988704,-0.002853814,0.000507871
2017/6/1,0.001389596,-0.01959182,-0.019981072,-0.004357086,-0.027228627,-0.012419341
2017/6/2,-0.003210875,0.010948863,0.010088875,0.000608071,0.011134552,0.004448409
2017/6/5,-0.005092087,0.007498427,0.008774253,-0.001661275,0.009317158,0.002430674
2017/6/6,0.006955755,0.004422606,0.002922761,0.006259145,0.005179828,0.005377018
2017/6/7,0.011735353,0.019428511,0.018941987,0.013847035,0.020837423,0.016994923
2017/6/8,0.007670567,0.000665271,-0.002835121,0.005737117,-0.000696173,0.003520447
2017/6/9,0.004266159,0.001727998,0.000771807,0.00356923,0.000822419,0.003002051
2017/6/12,-0.000497991,-0.011126814,-0.011460164,-0.003437001,-0.01385423,-0.007501839
2017/6/13,0.002204013,0.013078671,0.011309617,0.005187814,0.014663697,0.008360292
2017/6/14,-0.013111444,-0.00227844,-0.002782419,-0.010115289,0.001343592,-0.005372283
2017/6/15,-0.001840325,0.009173608,0.014309502,0.001229996,0.012567393,0.005104389
2017/6/16,-0.002842757,-0.001356133,-0.003416859,-0.002425021,-0.001667841,-0.001571203
2017/6/19,0.009919457,0.007385981,0.003506583,0.009206819,0.006288781,0.008015996
2017/6/20,-0.002018001,0.001567188,0.002519655,-0.001011387,0.001874613,-0.000189314
2017/6/21,0.011690701,0.00186057,0.002039785,0.008924257,5.22E-05,0.005766036
2017/6/22,0.000665421,-0.014125466,-0.014418991,-0.003468699,-0.017620884,-0.008009322
2017/6/23,0.009063369,0.003000249,0.005031304,0.007386803,0.000638039,0.00491677
2017/6/26,0.01247868,0.016858837,0.0076621,0.013684605,0.011581182,0.012852909
2017/6/27,0.001805653,0.000249557,-0.000737779,0.001375974,0.001599698,0.001932604
2017/6/28,-0.007768929,-0.00440927,-0.006447652,-0.00684228,-0.006765384,-0.006664453
2017/6/29,0.006215103,0.005057662,0.002960348,0.00589514,0.004472802,0.005367984
2017/6/30,-0.000553365,0.003459608,0.002489258,0.000555032,0.001219096,0.001108966
2017/7/3,-0.004350226,0.006392751,0.009856018,-0.001374361,0.009556117,0.002120224
2017/7/4,-0.008453437,-0.004944252,-0.003529766,-0.007473823,-0.001779304,-0.005221374
2017/7/5,0.010965628,0.007664313,0.003894933,0.010041804,0.008558534,0.009789662
2017/7/6,0.000113999,0.001241434,0.001287303,0.000428767,0.001805238,0.001203091
2017/7/7,-0.001138604,0.003927549,-0.001933773,0.000276849,0.00284078,0.002173521
2017/7/10,-0.000613387,-0.003124633,-0.017538965,-0.001317664,-0.005976666,-0.002597225
2017/7/11,0.004686171,-0.012496881,-0.010722656,-0.000124635,-0.012372915,-0.003779136
2017/7/12,-0.003264948,0.000652309,0.001588924,-0.002181788,-0.001299469,-0.001459846
2017/7/13,0.007679217,0.002762355,-0.004412266,0.006315779,-4.47E-06,0.004493808
2017/7/14,0.004386723,-0.003446216,-0.018717241,0.002222365,-0.005501506,-1.76E-05
2017/7/17,-0.010676613,-0.04116352,-0.051063001,-0.019052942,-0.051746954,-0.030173577
2017/7/18,0.000988984,0.010546317,0.006673858,0.003555692,0.008663474,0.005355214
2017/7/19,0.017061035,0.020362943,0.010364632,0.01795397,0.013109781,0.016413863
2017/7/20,0.004862985,0.006589031,0.00227847,0.005330895,0.005844251,0.005026133
2017/7/21,-0.005146023,0.004398025,0.000909446,-0.002555519,0.001077572,-0.001613178
2017/7/24,0.003988363,0.006695915,-0.002193243,0.004728354,0.005507088,0.005325009
2017/7/25,-0.006387018,-0.002193857,0.000981951,-0.005238712,-0.001893085,-0.004012478
2017/7/26,-0.003809753,-0.00112058,-0.004019206,-0.00307106,0.001515969,-0.001670478
2017/7/27,0.001836865,0.006071206,0.036210521,0.003002824,0.012789982,0.006699833
2017/7/28,0.002612121,0.005084491,-0.004659191,0.003294989,0.000418915,0.001965538
2017/7/31,0.004294,0.013279316,0.001283913,0.006780186,0.007953946,0.006773369
2017/8/1,0.008697352,-0.001820292,0.002749582,0.005768403,0.001071356,0.004362926
2017/8/2,-0.002527674,-0.005515517,-0.009328207,-0.003353779,-0.008509884,-0.004692946
2017/8/3,-0.008781546,0.001616302,0.004806552,-0.005912883,0.004681948,-0.00232294
2017/8/4,-0.005431261,-0.005885131,-0.00779304,-0.005557435,-0.004709199,-0.004858691
2017/8/7,0.00518268,0.012579012,0.007453345,0.007238056,0.00758334,0.007182745
2017/8/8,0.001453823,4.68E-05,0.017309172,0.001060761,0.003426835,0.002224919
2017/8/9,-0.000313192,0.00575946,0.000356328,0.001381548,0.003305517,0.001681327
2017/8/10,-0.004053343,-0.008013316,-0.005320272,-0.005163333,-0.007224616,-0.006107817
2017/8/11,-0.018453165,-0.020356603,-0.006574672,-0.018985176,-0.015163475,-0.01742169
2017/8/14,0.012977311,0.021335407,0.029470891,0.015310103,0.019955552,0.016149894
2017/8/15,0.003078342,0.003515058,0.00283655,0.003201026,0.004367767,0.00369814
2017/8/16,-0.001250898,0.000639422,0.014799431,-0.000719839,0.00494129,0.00147151
2017/8/17,0.005364508,0.007475377,0.004498882,0.005958379,0.009255238,0.006709545
2017/8/18,0.000913074,-0.002871222,-0.006324322,-0.000153193,-0.005011352,-0.001149569
2017/8/21,0.004381403,0.008825891,0.00406932,0.005630271,0.007351505,0.006441126
2017/8/22,0.00302163,-0.004341014,-0.007818319,0.000946216,-0.006111023,-0.001381464
2017/8/23,0.001010154,-0.008343735,-0.004159423,-0.00161249,-0.006677739,-0.002738647
2017/8/24,-0.005708758,-0.006989313,-0.006433228,-0.00606535,-0.006424202,-0.005797603
2017/8/25,0.016362623,0.010820981,0.00954426,0.014821244,0.009784536,0.013337261
2017/8/28,0.012371059,0.012298625,0.016520912,0.012351001,0.011024928,0.012121574
2017/8/29,-0.002127222,-0.002556959,-0.006097854,-0.002246274,-0.002537249,-0.00136919
2017/8/30,-6.18E-05,0.007070192,0.003843434,0.001913355,0.004081878,0.002283771
2017/8/31,-0.003183814,0.002628403,0.005845709,-0.001565859,0.003331273,0.000825683
2017/9/1,0.002209653,0.008666926,0.008581854,0.004015203,0.007817097,0.005018294
2017/9/4,0.003936261,0.005849349,0.00984742,0.004473661,0.007528942,0.00477055
2017/9/5,0.002972241,0.001093534,0.000819858,0.002443767,0.000302481,0.001922371
2017/9/6,-0.001969512,0.005365072,0.009386195,9.09E-05,0.007403016,0.001885609
2017/9/7,-0.005086077,-0.007343792,-0.006555617,-0.005723725,-0.004439353,-0.004823717
2017/9/8,-0.001013559,0.002376469,-0.002702416,-5.75E-05,0.001968032,0.001052349
2017/9/11,-9.00E-05,0.011475951,0.005888641,0.003179631,0.010447332,0.00556963
2017/9/12,0.003212216,-0.000844528,-0.006270541,0.002055786,-0.002684981,0.000256931
2017/9/13,0.001217322,0.006075847,0.002095162,0.002598301,0.003712613,0.003171183
2017/9/14,-0.003292219,-0.001824388,-0.004861175,-0.002873545,-0.001524263,-0.002104729
2017/9/15,0.000350161,-0.007514945,-0.001925074,-0.001895531,-0.004559887,-0.003039486
2017/9/18,0.003091982,0.007159572,0.010219207,0.004246848,0.007755318,0.005444835
2017/9/19,-0.002869188,-0.005013108,-0.007655575,-0.003479645,-0.004530236,-0.003495981
